country,butter,milk,cheese
中国,0.1,20.3,0.1
日本,0.6,30.8,2.4
韓国,0.2,32.9,2.8
イラン,1,27.1,4.7
トルコ,0.9,17.8,7.8
イスラエル,0.8,54.8,18.9
カザフスタン,1.3,27.5,2.4
モンゴル,0.5,9.1,0.3
イギリス,2.6,92.6,11.7
ドイツ,6.1,53.7,24.7
スペイン,0.4,78.6,9
フランス,8.2,49.6,27.2
イタリア,2.3,47.7,21.5
ポーランド,4.5,38.8,17.3
スウェーデン,2.5,81.8,20.5
オランダ,3,49.4,21.6
フィンランド,3.3,120,27.3
オーストリア,4.9,74.8,21.1
アイルランド,2.4,125,8.6
チェコ,5.4,60.1,17.6
ベルギー,2.3,46.7,15
デンマーク,6.4,86.8,28.1
ハンガリー,1.8,52.8,13.2
スロバキア,3.9,49.6,14
ラトビア,3.2,46.1,19.8
エストニア,2.8,99.1,20
リトアニア,3.8,36.9,17.4
クロアチア,1.5,55.5,13
キプロス,1.9,107.8,26.7
アメリカ,2.6,69.2,16.7
メキシコ,1,29.2,3.9
カナダ,3.2,71.6,13.4
ブラジル,0.4,48.2,3.8
コロンビア,0.3,36.9,1.4
アルゼンチン,0.7,40.3,11.6
チリ,1.4,27.1,9.3
ウルグアイ,1.4,63.5,8.7
ロシア,2.2,34.4,5.7
ウクライナ,2,20.6,3.6
スイス,5.2,58.2,22.2
ノルウェー,3.1,82.5,19.8
アイスランド,6,89.8,27.7
エジプト,0.8,18.5,4.2
南アフリカ,0.5,28.6,1.9
オーストラリア,4,106.6,14.7
ニュージーランド,5.1,106.6,8.2
